CVEGEO,NOM_MUN,Distrito / Municipio
26001,Aconchi,ACONCHI
26002,Agua Prieta,AGUA PRIETA
26003,Alamos,ALAMOS
26004,Altar,ALTAR
26005,Arivechi,ARIVECHI
26006,Arizpe,ARIZPE
26007,Atil,ATIL
26008,Bacadéhuachi,BACADEHUACHI
26009,Bacanora,BACANORA
26010,Bacerac,BACERAC
26011,Bacoachi,BACOACHI
26012,Bácum,BACUM
26013,Banámichi,BANAMICHI
26014,Baviácora,BAVIACORA
26015,Bavispe,BAVISPE
26071,Benito Juárez,BENITO JUAREZ
26016,Benjamín Hill,BENJAMIN HILL
26017,Caborca,CABORCA
26018,Cajeme,CAJEME
26019,Cananea,CANANEA
26020,Carbó,CARBO
26022,Cucurpe,CUCURPE
26023,Cumpas,CUMPAS
26024,Divisaderos,DIVISADEROS
26025,Empalme,EMPALME
26026,Etchojoa,ETCHOJOA
26027,Fronteras,FRONTERAS
26070,General Plutarco Elías Calles,GENERAL PLUTARCO ELIAS CALLES
26028,Granados,GRANADOS
26029,Guaymas,GUAYMAS
26030,Hermosillo,HERMOSILLO
26031,Huachinera,HUACHINERA
26032,Huásabas,HUASABAS
26033,Huatabampo,HUATABAMPO
26034,Huépac,HUEPAC
26035,Imuris,IMURIS
26021,La Colorada,LA COLORADA
26036,Magdalena,MAGDALENA
26037,Mazatán,MAZATAN
26038,Moctezuma,MOCTEZUMA
26039,Naco,NACO
26040,Nácori Chico,NACORI CHICO
26041,Nacozari de García,NACOZARI DE GARCIA
26042,Navojoa,NAVOJOA
26043,Nogales,NOGALES
26044,Onavas,ONAVAS
26045,Opodepe,OPODEPE
26046,Oquitoa,OQUITOA
26047,Pitiquito,PITIQUITO
26048,Puerto Peñasco,PUERTO PEÑASCO
26049,Quiriego,QUIRIEGO
26050,Rayón,RAYON
26051,Rosario,ROSARIO
26052,Sahuaripa,SAHUARIPA
26053,San Felipe de Jesús,SAN FELIPE DE JESUS
26072,San Ignacio Río Muerto,SAN IGNACIO RIO MUERTO
26054,San Javier,SAN JAVIER
26055,San Luis Río Colorado,SAN LUIS RIO COLORADO
26056,San Miguel de Horcasitas,SAN MIGUEL DE HORCASITAS
26057,San Pedro de la Cueva,SAN PEDRO DE LA CUEVA
26058,Santa Ana,SANTA ANA
26059,Santa Cruz,SANTA CRUZ
26060,Sáric,SARIC
26061,Soyopa,SOYOPA
26062,Suaqui Grande,SUAQUI GRANDE
26063,Tepache,TEPACHE
26064,Trincheras,TRINCHERAS
26065,Tubutama,TUBUTAMA
26066,Ures,URES
26067,Villa Hidalgo,VILLA HIDALGO
26068,Villa Pesqueira,VILLA PESQUEIRA
26069,Yécora,YECORA
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
