Partido,Municipio,Cargo,Elección,Nombre_completo
FUERZA Y CORAZÓN POR SONORA,ACONCHI,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,VIRIDIANA DE LA TORRE MANRIQUEZ
FUERZA Y CORAZÓN POR SONORA,AGUA PRIETA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,JESUS CARLOS BATISTA LAMADRID
FUERZA Y CORAZÓN POR SONORA,ALAMOS,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,HÉCTOR JAVIER SANCHEZ VALDEZ
FUERZA Y CORAZÓN POR SONORA,ALTAR,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,LAURA INES QUIHUIS MENDOZA
FUERZA Y CORAZÓN POR SONORA,ARIVECHI,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,YOLANDA EMIGDIO MENDEZ
FUERZA Y CORAZÓN POR SONORA,ARIZPE,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,DULCE GRISELDA ALVARADO MORALES
FUERZA Y CORAZÓN POR SONORA,BACADEHUACHI,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,JOAQUIN JAIME MORENO
FUERZA Y CORAZÓN POR SONORA,BACANORA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,JULIAN JAVIER URQUIJO LUGO
FUERZA Y CORAZÓN POR SONORA,BACERAC,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,MARIA MONSERRAT RAMIREZ MOLINA
FUERZA Y CORAZÓN POR SONORA,BAVISPE,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,MELVIN ROMERO PEDREGO
FUERZA Y CORAZÓN POR SONORA,CABORCA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,DANIEL SALAZAR BALLESTEROS
FUERZA Y CORAZÓN POR SONORA,CAJEME,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,LUIS ARMANDO ALCALA ALCARAZ
FUERZA Y CORAZÓN POR SONORA,CANANEA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,MARTIN ADRIAN PAZ BUSTAMANTE
FUERZA Y CORAZÓN POR SONORA,CUMPAS,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,JESUS ALBERTO OJEDA CASTELLANOS
FUERZA Y CORAZÓN POR SONORA,DIVISADEROS,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,MARIA EDENIA BALDERRAMA OCEJO
FUERZA Y CORAZÓN POR SONORA,ETCHOJOA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,JESUS ROSARIO RODRIGUEZ QUIÑONES
FUERZA Y CORAZÓN POR SONORA,GRANADOS,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,OFELIA DUARTE RIOS
FUERZA Y CORAZÓN POR SONORA,GUAYMAS,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,FRANCISCO ROGELIO SANCHEZ DE LA VEGA
FUERZA Y CORAZÓN POR SONORA,HERMOSILLO,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,ANTONIO FRANCISCO ASTIAZARAN GUTIERREZ
FUERZA Y CORAZÓN POR SONORA,HUACHINERA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,MAVIDENIA RAMOS HOLGUIN
FUERZA Y CORAZÓN POR SONORA,HUASABAS,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,ANDREA ORDUÑO RAMIREZ
FUERZA Y CORAZÓN POR SONORA,HUATABAMPO,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,RAMON ANTONIO DIAZ NIEBLAS
FUERZA Y CORAZÓN POR SONORA,HUEPAC,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,JESUS ALFONSO LOPEZ LOPEZ
FUERZA Y CORAZÓN POR SONORA,LA COLORADA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,FERNANDO VIDAL ENCINAS
FUERZA Y CORAZÓN POR SONORA,MAGDALENA,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,FRANCISCO ARTURO DUARTE VALDEZ
FUERZA Y CORAZÓN POR SONORA,MAZATAN,PRESIDENTE MUNICIPAL,AYUNTAMIENTOS,OLINKA GUADALUPE ANDRADE GRACIA
